"","GEOID","NAME","variable","value"
"359","13057","Cherokee County, Georgia","P002001",214346
"360","13059","Clarke County, Georgia","P002001",116714
"361","13061","Clay County, Georgia","P002001",3183
"362","13063","Clayton County, Georgia","P002001",259424
"363","13065","Clinch County, Georgia","P002001",6798
"364","13067","Cobb County, Georgia","P002001",688078
"365","13081","Crisp County, Georgia","P002001",23439
"366","13077","Coweta County, Georgia","P002001",127317
"367","13079","Crawford County, Georgia","P002001",12630
"368","13071","Colquitt County, Georgia","P002001",45498
"369","13073","Columbia County, Georgia","P002001",124053
"370","13075","Cook County, Georgia","P002001",17212
"371","13093","Dooly County, Georgia","P002001",14918
"372","13083","Dade County, Georgia","P002001",16633
"373","13085","Dawson County, Georgia","P002001",22330
"374","13087","Decatur County, Georgia","P002001",27842
"375","13089","DeKalb County, Georgia","P002001",691893
"376","13091","Dodge County, Georgia","P002001",21796
"377","13109","Evans County, Georgia","P002001",11000
"378","13095","Dougherty County, Georgia","P002001",94565
"379","13097","Douglas County, Georgia","P002001",132403
"380","13099","Early County, Georgia","P002001",11008
"381","13101","Echols County, Georgia","P002001",4034
"382","13103","Effingham County, Georgia","P002001",52250
"383","13105","Elbert County, Georgia","P002001",20166
"384","13107","Emanuel County, Georgia","P002001",22598
"385","06077","San Joaquin County, California","P002001",685306
"386","13111","Fannin County, Georgia","P002001",23682
"387","13113","Fayette County, Georgia","P002001",106567
"388","13115","Floyd County, Georgia","P002001",96317
"389","13117","Forsyth County, Georgia","P002001",175511
"390","13119","Franklin County, Georgia","P002001",22084
"391","06073","San Diego County, California","P002001",3095313
"392","06075","San Francisco County, California","P002001",805235
"393","06093","Siskiyou County, California","P002001",44900
"394","06079","San Luis Obispo County, California","P002001",269637
"395","06081","San Mateo County, California","P002001",718451
"396","06083","Santa Barbara County, California","P002001",423895
"397","06085","Santa Clara County, California","P002001",1781642
"398","06087","Santa Cruz County, California","P002001",262382
"399","06089","Shasta County, California","P002001",177223
"400","06091","Sierra County, California","P002001",3240
"401","06115","Yuba County, California","P002001",72155
"402","06095","Solano County, California","P002001",413344
"403","06097","Sonoma County, California","P002001",483878
"404","06099","Stanislaus County, California","P002001",514453
"405","06101","Sutter County, California","P002001",94737
"406","06103","Tehama County, California","P002001",63463
"407","06105","Trinity County, California","P002001",13786
"408","06111","Ventura County, California","P002001",823318
"409","06113","Yolo County, California","P002001",200849
"410","06107","Tulare County, California","P002001",442179
"411","06109","Tuolumne County, California","P002001",55365
"412","08011","Bent County, Colorado","P002001",6499
"413","08001","Adams County, Colorado","P002001",441603
"414","08005","Arapahoe County, Colorado","P002001",572003
"415","08007","Archuleta County, Colorado","P002001",12084
"416","08009","Baca County, Colorado","P002001",3788
"417","08003","Alamosa County, Colorado","P002001",15445
"418","08021","Conejos County, Colorado","P002001",8256
"419","08013","Boulder County, Colorado","P002001",294567
"420","08014","Broomfield County, Colorado","P002001",55889
"421","08015","Chaffee County, Colorado","P002001",17809
"422","08017","Cheyenne County, Colorado","P002001",1836
"423","08019","Clear Creek County, Colorado","P002001",9088
"424","08037","Eagle County, Colorado","P002001",52197
